FIPS,RUCA_urban_code,sec_RUCA_urban_code,pop,land_area,pop_density
55123960600,2,2,"4,614",155.2,29.7
55123960700,2,2,"4,017",104.5,38.4
55125940000,10,10,"3,473",99.4,34.9
55125950200,10,10,"4,140",217.2,19.1
55125950500,10,10,"5,772",73.5,78.6
55125950600,10,10,"3,739",394.6,9.5
55125950700,10,10,"4,306",71.9,59.8
55127000101,2,2,"6,003",11.9,504.2
55127000102,2,2,"2,398",22.0,108.9
55127000200,3,3,"6,556",105.4,62.2
55127000301,6,6,"3,140",65.9,47.6
55127000302,6,6,"6,225",60.4,103.0
55127000400,4,4,"3,855",3.2,"1,201.6"
55127000501,4,4,"3,766",0.9,"4,210.5"
55127000502,4,4,"3,675",3.3,"1,110.8"
55127000600,4,4,"5,641",70.3,80.3
55127000701,4,4,"4,121",4.8,856.1
55127000702,4,4,"4,613",3.0,"1,513.5"
55127000800,4,4,"4,574",21.2,216.1
55127000901,4,4,"5,977",9.6,624.9
55127000902,4,4,"3,430",2.3,"1,493.5"
55127001000,6,6,"5,241",54.4,96.4
55127001501,4,4,"3,075",6.2,494.1
55127001502,4,4,"5,379",5.6,961.0
55127001602,4,4,"5,643",11.4,496.1
55127001603,4,4,"2,687",5.3,505.9
55127001604,7,7,"5,056",10.4,488.4
55127001701,2,2,"5,811",18.2,320.0
55127001702,2,2,"5,362",59.5,90.1
55129950100,10,10,"2,044",212.1,9.6
55129950200,8,8,"1,767",139.1,12.7
55129950300,10,10,"2,691",197.7,13.6
55129950500,7,7,"5,100",114.6,44.5
55129950600,8,8,"4,309",133.5,32.3
55131400102,1,1.1,"3,931",3.6,"1,098.8"
55131400103,2,2,"4,014",36.5,110.0
55131400104,1,1.1,"5,715",32.6,175.2
55131410100,1,1.1,"5,057",24.3,207.8
55131420103,1,1.1,"6,039",15.5,389.8
55131420104,1,1.1,"5,096",20.7,246.7
55131420105,1,1.1,"4,671",2.5,"1,855.7"
55131420106,1,1.1,"3,619",2.2,"1,645.9"
55131420200,1,1.1,"5,408",2.0,"2,642.6"
55131420300,1,1.1,"5,873",1.9,"3,167.1"
55131420401,1,1.1,"1,933",0.5,"3,987.4"
55131420402,1,1.1,"2,093",0.7,"3,105.0"
55131430100,2,2.1,"5,664",71.8,78.9
55131440103,1,1.1,"4,827",11.3,428.3
55131440104,1,1.1,"5,614",8.0,704.4
55131440105,1,1.1,"3,338",15.2,219.0
55131440106,2,2,"3,747",35.8,104.7
55131440200,1,1.1,"4,040",0.9,"4,294.8"
55131450103,1,1.1,"5,109",21.4,239.2
55131450104,1,1.1,"6,264",20.9,299.6
55131450105,2,2.1,"2,588",14.9,174.1
55131450106,1,1.1,"5,944",15.6,381.3
55131460101,1,1,"6,262",23.9,261.6
55131460102,1,1,"5,038",11.9,423.6
55131470100,1,1,"5,157",26.8,192.7
